item,value,coordinate_location
http://www.wikidata.org/entity/Q1126,BE-WLX,Point(5.416666666 49.916666666)
http://www.wikidata.org/entity/Q1162,IN-AR,Point(93.37 27.06)
http://www.wikidata.org/entity/Q1177,IN-HP,Point(77.172222222 31.103333333)
http://www.wikidata.org/entity/Q1194,DE-SH,Point(9.51416 54.470038)
http://www.wikidata.org/entity/Q1205,DE-TH,Point(11.0 51.0)
http://www.wikidata.org/entity/Q1211,US-SD,Point(-100.0 44.5)
http://www.wikidata.org/entity/Q1222,IT-23,Point(7.366666666 45.716666666)
http://www.wikidata.org/entity/Q1237,IT-32,Point(11.416666666 46.383333333)
http://www.wikidata.org/entity/Q1250,IT-36,Point(13.116666666 46.1)
http://www.wikidata.org/entity/Q1387,US-RI,Point(-71.5 41.7)
http://www.wikidata.org/entity/Q1408,US-NJ,Point(-74.5 40.0)
http://www.wikidata.org/entity/Q1437,IN-RJ,Point(73.838888888 26.572777777)
http://www.wikidata.org/entity/Q1447,IT-75,Point(16.512777777 41.008611111)
http://www.wikidata.org/entity/Q1546,US-IA,Point(-93.0 42.0)
http://www.wikidata.org/entity/Q1553,US-NE,Point(-100.0 41.5)
http://www.wikidata.org/entity/Q3206,AU-WA,Point(121.0 -26.0)
http://www.wikidata.org/entity/Q11196,BA-SRP,Point(17.316666666 44.75)
http://www.wikidata.org/entity/Q11198,BA-BIH,Point(17.71 43.83)
http://www.wikidata.org/entity/Q23105,GB-STS,Point(-2.0 52.833333333)
http://www.wikidata.org/entity/Q23183,GB-WIL,Point(-1.916666666 51.333333333)
http://www.wikidata.org/entity/Q23298,GB-KEN,Point(0.73 51.19)
http://www.wikidata.org/entity/Q42880,AT-7,Point(11.4 47.266666666)
http://www.wikidata.org/entity/Q54183,PL-26,Point(20.766666666 50.75)
http://www.wikidata.org/entity/Q193103,ME-08,Point(18.5375 42.453055555)
http://www.wikidata.org/entity/Q204367,NE-7,Point(9.2 13.7)
http://www.wikidata.org/entity/Q208604,GR-73,Point(25.4011 41.1172)
http://www.wikidata.org/entity/Q216482,GR-44,Point(21.6667 39.6667)
http://www.wikidata.org/entity/Q238555,TN-13,Point(10.333333 36.747222)
http://www.wikidata.org/entity/Q276565,TN-51,Point(10.633333333 35.833333333)
http://www.wikidata.org/entity/Q276580,TN-32,Point(8.783333333 36.5)
http://www.wikidata.org/entity/Q338743,SI-100,Point(16.05 46.633333333)
http://www.wikidata.org/entity/Q391446,SI-118,Point(15.65 46.683333333)
http://www.wikidata.org/entity/Q557216,SI-019,Point(13.9678 45.6814)
http://www.wikidata.org/entity/Q557216,SI-019,Point(14.0225 45.68444)
http://www.wikidata.org/entity/Q648249,MA-05,Point(-5.0 34.033333333)
http://www.wikidata.org/entity/Q906636,SI-056,Point(16.083333333 46.833333333)
http://www.wikidata.org/entity/Q920353,SI-116,Point(16.020277777 46.568333333)
http://www.wikidata.org/entity/Q927718,SI-047,Point(16.4 46.683333333)
http://www.wikidata.org/entity/Q1722597,KE-18,Point(38.38333333 -1.48333333)
http://www.wikidata.org/entity/Q2679107,TT-DMN,Point(-61.566667 10.716667)
http://www.wikidata.org/entity/Q2718315,SC-25,Point(55.466666666 -4.65)
http://www.wikidata.org/entity/Q2743565,CZ-113,Point(14.344444444 50.05)
http://www.wikidata.org/entity/Q2914461,GE-AB,Point(41.2636 43.0837)
http://www.wikidata.org/entity/Q3040071,GQ-I,Point(8.7 3.5)
http://www.wikidata.org/entity/Q3241682,SC-17,Point(55.45 -4.616666666)
http://www.wikidata.org/entity/Q3278915,SI-195,Point(15.90861111 46.69916667)
http://www.wikidata.org/entity/Q3299950,ME-14,Point(19.35 43.35)
http://www.wikidata.org/entity/Q3304454,ME-21,Point(19.11666667 43.15)
http://www.wikidata.org/entity/Q3305075,ME-06,Point(18.91972 42.4)
http://www.wikidata.org/entity/Q3305250,ME-16,Point(19.28 42.47)
http://www.wikidata.org/entity/Q3317366,ME-08,Point(18.533333333 42.45)
http://www.wikidata.org/entity/Q3434092,SI-165,Point(14.87111 45.48944)
http://www.wikidata.org/entity/Q3434092,SI-165,Point(14.91000833 45.50884444)
http://www.wikidata.org/entity/Q3435117,SI-176,Point(16.28333333 46.51666667)
http://www.wikidata.org/entity/Q3435478,SI-084,Point(13.6492 45.9548)
http://www.wikidata.org/entity/Q3435478,SI-084,Point(13.72805 45.9652)
http://www.wikidata.org/entity/Q3455550,ML-9,Point(2.7 16.7)
http://www.wikidata.org/entity/Q3482913,KE-38,Point(34.25 -0.08333333)
http://www.wikidata.org/entity/Q3489935,CZ-119,Point(14.54944444 50.13333333)
http://www.wikidata.org/entity/Q3490843,CZ-112,Point(14.406944444 50.01)
http://www.wikidata.org/entity/Q3503123,SI-025,Point(15.0228 46.59)
http://www.wikidata.org/entity/Q3539256,UG-422,Point(31.05 0.48333333)
http://www.wikidata.org/entity/Q3539414,UG-423,Point(30.0 -0.6)
http://www.wikidata.org/entity/Q4501876,OM-SS,Point(58.55 22.683333)
http://www.wikidata.org/entity/Q4703565,OM-BJ,Point(57.424444 23.390833)
http://www.wikidata.org/entity/Q5444365,GB-FMO,Point(-7.494 54.545)
http://www.wikidata.org/entity/Q6309297,SI-081,Point(15.16583333 46.60888889)
http://www.wikidata.org/entity/Q6398826,AZ-XAC,Point(48.8 41.466666666)
http://www.wikidata.org/entity/Q6714242,ZM-10,Point(32.07725 -10.54393)
http://www.wikidata.org/entity/Q6714242,ZM-10,Point(32.0 -10.0)
http://www.wikidata.org/entity/Q6840825,GB-MUL,Point(-6.679 54.668)
http://www.wikidata.org/entity/Q7415283,BS-SR,Point(-74.666666666 23.85)
http://www.wikidata.org/entity/Q7898827,MV-UN,
http://www.wikidata.org/entity/Q7903676,WF-UV,Point(-176.2 -13.3)
http://www.wikidata.org/entity/Q9305847,LT-28,Point(21.11666667 55.55555556)
http://www.wikidata.org/entity/Q13361279,CZ-118,Point(14.51 50.13611111)
http://www.wikidata.org/entity/Q13365881,MV-NC,
http://www.wikidata.org/entity/Q13370246,SI-196,Point(16.0 46.35)
http://www.wikidata.org/entity/Q13377747,SI-005,Point(14.38333333 45.9)
http://www.wikidata.org/entity/Q13377798,SI-193,Point(14.933333333 45.816666666)
http://www.wikidata.org/entity/Q13378384,SI-120,Point(15.4 46.216666666)
http://www.wikidata.org/entity/Q15630696,ME-23,
http://www.wikidata.org/entity/Q16928358,ZW-HA,Point(31.05833 -17.85417)
http://www.wikidata.org/entity/Q18677983,FR-GES,Point(7.7599 48.5989)
http://www.wikidata.org/entity/Q19594930,BD-H,Point(90.4167 24.1667)
http://www.wikidata.org/entity/Q19953016,MA-05,Point(-6.35 32.46)
http://www.wikidata.org/entity/Q20980365,CI-LG,Point(-4.21666667 5.93333333)
http://www.wikidata.org/entity/Q20989106,GB-BPL,Point(-3.03333 53.83333)
http://www.wikidata.org/entity/Q20991246,IT-CT,Point(15.06666667 37.51666667)
http://www.wikidata.org/entity/Q21002161,CI-SV,Point(-5.61666667 9.41666667)
http://www.wikidata.org/entity/Q21002161,CI-SV,Point(-5.5 9.5)
http://www.wikidata.org/entity/Q21694674,GB-KEN,Point(0.73 51.19)
http://www.wikidata.org/entity/Q21694746,GB-WIL,Point(-2.21 51.31638889)
http://www.wikidata.org/entity/Q21694786,GB-STS,Point(-2.0 52.8)
http://www.wikidata.org/entity/Q731093,SI-098,Point(15.65 46.45)
http://www.wikidata.org/entity/Q732322,DM-02,Point(-61.311666666 15.563333333)
http://www.wikidata.org/entity/Q735146,BT-22,Point(89.916666666 27.0)
http://www.wikidata.org/entity/Q737711,TD-TI,Point(17.0011 21.3544)
http://www.wikidata.org/entity/Q738081,SN-KD,Point(-14.816666666 13.083333333)
http://www.wikidata.org/entity/Q738382,ZM-07,Point(27.0 -16.5)
http://www.wikidata.org/entity/Q739651,PA-4,Point(-82.433333333 8.433333333)
http://www.wikidata.org/entity/Q739651,PA-4,Point(-82.41667 8.5)
http://www.wikidata.org/entity/Q740622,MW-LK,Point(34.666666666 -12.083333333)
http://www.wikidata.org/entity/Q745073,LK-61,Point(80.25 7.75)
http://www.wikidata.org/entity/Q747846,KH-16,Point(107.0 13.733333333)
http://www.wikidata.org/entity/Q750659,CD-IT,Point(29.5 1.83333)
http://www.wikidata.org/entity/Q750659,CD-IT,Point(29.5 1.833333333)
http://www.wikidata.org/entity/Q750659,CD-IT,Point(29.5 1.83333337)
http://www.wikidata.org/entity/Q751632,CD-HU,Point(27.616666666 2.766666666)
http://www.wikidata.org/entity/Q752348,MT-45,Point(14.25 36.05)
http://www.wikidata.org/entity/Q755115,PY-12,Point(-57.91667 -26.66667)
http://www.wikidata.org/entity/Q763171,GB-WKF,Point(-1.499 53.683)
http://www.wikidata.org/entity/Q763400,SI-007,Point(13.528611111 45.997777777)
http://www.wikidata.org/entity/Q763400,SI-007,Point(13.54333 46.0075)
http://www.wikidata.org/entity/Q766445,JP-47,Point(127.933333333 26.5)
http://www.wikidata.org/entity/Q766445,JP-47,Point(128.0 26.5)
http://www.wikidata.org/entity/Q768119,MR-10,Point(-12.35 15.383333333)
http://www.wikidata.org/entity/Q773659,SI-062,Point(14.74666667 46.35611111)
http://www.wikidata.org/entity/Q775756,MT-40,Point(14.480833333 35.926388888)
http://www.wikidata.org/entity/Q782049,MT-24,Point(14.447222222 35.901388888)
http://www.wikidata.org/entity/Q804311,BG-01,Point(23.25 41.75)
http://www.wikidata.org/entity/Q804356,CZ-641,Point(16.644722222 49.363333333)
http://www.wikidata.org/entity/Q809733,CI-09,Point(-6.666666666 5.5)
http://www.wikidata.org/entity/Q818739,MA-15,Point(-14.5 26.133333333)
http://www.wikidata.org/entity/Q834513,NA-KU,Point(13.840555555 -18.055555555)
http://www.wikidata.org/entity/Q834551,CD-SU,Point(19.76666667 3.25)
http://www.wikidata.org/entity/Q836657,NG-OG,Point(3.583333333 7.0)
http://www.wikidata.org/entity/Q837633,CZ-316,Point(13.903333333 49.261666666)
http://www.wikidata.org/entity/Q838324,CZ-714,Point(17.450277777 49.455277777)
http://www.wikidata.org/entity/Q838532,BH-14,Point(50.55 25.92)
http://www.wikidata.org/entity/Q841338,TD-OD,Point(20.8328 13.83)
http://www.wikidata.org/entity/Q842491,CI-11,Point(-4.166666666 7.25)
http://www.wikidata.org/entity/Q845823,GQ-CS,Point(10.29 1.55)
http://www.wikidata.org/entity/Q847318,CZ-204,Point(15.201389 50.028056)
http://www.wikidata.org/entity/Q848582,CF-MB,Point(23.5 5.0)
http://www.wikidata.org/entity/Q849801,PG-SHM,Point(143.333333333 -6.166666666)
http://www.wikidata.org/entity/Q852496,CZ-803,Point(18.542778 49.854167)
http://www.wikidata.org/entity/Q852532,CZ-721,Point(17.392777777 49.298333333)
http://www.wikidata.org/entity/Q853169,GN-BE,Point(-8.657777777 8.686666666)
http://www.wikidata.org/entity/Q856275,SN-MT,Point(-13.633333333 15.1)
http://www.wikidata.org/entity/Q856788,KH-14,Point(105.333333333 11.483333333)
http://www.wikidata.org/entity/Q859581,MR-06,Point(-14.733333333 17.983333333)
http://www.wikidata.org/entity/Q863554,CG-7,Point(18.066666666 1.633333333)
http://www.wikidata.org/entity/Q867816,RS-13,Point(21.25 43.966666666)
http://www.wikidata.org/entity/Q867856,TD-TA,Point(16.3 9.4)
http://www.wikidata.org/entity/Q868778,MW-KS,Point(33.416666666 -13.0)
http://www.wikidata.org/entity/Q868792,MW-MC,Point(33.083333333 -13.75)
http://www.wikidata.org/entity/Q868819,MW-KR,Point(33.75 -10.0)
http://www.wikidata.org/entity/Q870146,GN-N,Point(-9.0 8.5)
http://www.wikidata.org/entity/Q876506,NA-OD,Point(17.7 -20.25)
http://www.wikidata.org/entity/Q876512,NA-OT,Point(17.0 -18.5)
http://www.wikidata.org/entity/Q878308,MD-ST,Point(28.583333333 47.166666666)
http://www.wikidata.org/entity/Q923219,MA-GUE,Point(-10.066666666 28.983333333)
http://www.wikidata.org/entity/Q926417,UG-102,Point(32.566666666 0.316666666)
http://www.wikidata.org/entity/Q936717,HT-SE,Point(-72.5333 18.2333)
http://www.wikidata.org/entity/Q948026,PS-KYS,Point(34.3 31.35)
http://www.wikidata.org/entity/Q950841,LR-GG,Point(-8.083333333 5.916666666)
http://www.wikidata.org/entity/Q952184,BD-63,Point(89.92 24.3)
http://www.wikidata.org/entity/Q954987,SI-083,Point(14.57 46.19)
http://www.wikidata.org/entity/Q963986,SI-164,Point(14.541666666 46.2)
http://www.wikidata.org/entity/Q972665,MA-AOU,Point(-17.1 20.833055555)
http://www.wikidata.org/entity/Q979608,TT-SJL,Point(-61.483333 10.65)
http://www.wikidata.org/entity/Q988104,CD-EQ,Point(18.2667 0.0666667)
http://www.wikidata.org/entity/Q998566,SI-055,Point(15.614166666 46.638888888)
http://www.wikidata.org/entity/Q999584,SI-076,Point(15.194722222 46.444444444)
http://www.wikidata.org/entity/Q1001862,TH-38,Point(103.65511111 18.36688889)
http://www.wikidata.org/entity/Q1008102,SI-160,Point(15.666666666 46.483333333)
http://www.wikidata.org/entity/Q1018111,MT-15,Point(14.453372222 35.924069444)
http://www.wikidata.org/entity/Q1026448,GB-CLD,Point(-1.97 53.72)
http://www.wikidata.org/entity/Q1027062,SI-207,Point(13.97255 46.391463888)
http://www.wikidata.org/entity/Q1032796,LC-12,Point(-61.066944444 13.904444444)
http://www.wikidata.org/entity/Q1042437,TD-HL,Point(15.733333333 13.0)
http://www.wikidata.org/entity/Q1043446,RS-19,Point(21.316666666 43.583333333)
http://www.wikidata.org/entity/Q1043494,CD-BC,Point(13.48333334 -5.81666668)
http://www.wikidata.org/entity/Q1043494,CD-BC,Point(13.48333333 -5.81666667)
http://www.wikidata.org/entity/Q1049867,LC-02,Point(-60.973611 13.988056)
http://www.wikidata.org/entity/Q1050475,SL-W,Point(-13.0 8.333333333)
http://www.wikidata.org/entity/Q1053723,GB-CBF,Point(-0.4906 52.0263)
http://www.wikidata.org/entity/Q1057124,LK-7,Point(80.5 8.333333333)
http://www.wikidata.org/entity/Q1059262,MW-BL,Point(35.0 -15.5)
http://www.wikidata.org/entity/Q1059694,SN-KA,Point(-15.7 14.116666666)
http://www.wikidata.org/entity/Q1062430,FJ-N,Point(179.5 -16.5)
http://www.wikidata.org/entity/Q1074154,BF-IOB,Point(-3.083333333 11.083333333)
http://www.wikidata.org/entity/Q1074521,BF-YAT,Point(-2.41666668 13.58333334)
http://www.wikidata.org/entity/Q1074521,BF-YAT,Point(-2.416666666 13.583333333)
http://www.wikidata.org/entity/Q1074991,BD-10,Point(91.8389 22.3375)
http://www.wikidata.org/entity/Q1075816,LC-03,Point(-61.03333333 13.78333333)
http://www.wikidata.org/entity/Q1114868,UG-225,Point(34.15 1.367)
http://www.wikidata.org/entity/Q1114938,UG-226,Point(33.167 1.183)
http://www.wikidata.org/entity/Q1144488,WS-AL,Point(-172.066666666 -13.866666666)
http://www.wikidata.org/entity/Q1146777,GY-CU,Point(-60.211075 6.459522222)
http://www.wikidata.org/entity/Q1149611,TD-SI,Point(21.41444444 12.22361111)
http://www.wikidata.org/entity/Q1151062,UG-208,Point(33.833333333 1.466666666)
http://www.wikidata.org/entity/Q1154121,WS-AA,Point(-171.9873778 -13.89093056)
http://www.wikidata.org/entity/Q21694733,GB-GLS,Point(-2.166666666 51.833333333)
http://www.wikidata.org/entity/Q160284,ZA-FS,Point(27.0 -28.0)
http://www.wikidata.org/entity/Q170213,UA-21,Point(23.29 48.41)
http://www.wikidata.org/entity/Q170446,UA-59,Point(34.0 51.0)
http://www.wikidata.org/entity/Q170453,VE-Z,Point(-66.0 3.5)
http://www.wikidata.org/entity/Q170666,UA-63,Point(36.43 49.59)
http://www.wikidata.org/entity/Q171382,AF-BAM,Point(67.25 34.75)
http://www.wikidata.org/entity/Q174187,UA-56,Point(26.35 50.74)
http://www.wikidata.org/entity/Q175021,AE-UQ,Point(55.55 25.55)
http://www.wikidata.org/entity/Q175945,GB-NLN,Point(-0.65 53.6)
http://www.wikidata.org/entity/Q179351,GB-WSM,Point(-0.137222222 51.4975)
http://www.wikidata.org/entity/Q179424,IE-DL,Point(-8.0 54.917)
http://www.wikidata.org/entity/Q180330,AF-FRA,Point(63.5 32.5)
http://www.wikidata.org/entity/Q180484,GR-D,Point(20.833333333 39.5)
http://www.wikidata.org/entity/Q181220,AF-DAY,Point(66.25 33.75)
http://www.wikidata.org/entity/Q182169,FJ-E,Point(180.0 -18.5)
http://www.wikidata.org/entity/Q182591,IE-WW,Point(-6.416666666 53.0)
http://www.wikidata.org/entity/Q182809,BG-26,Point(25.916666666 41.833333333)
http://www.wikidata.org/entity/Q183028,AF-URU,Point(66.0 32.8)
http://www.wikidata.org/entity/Q183640,SK-BC,Point(19.149166666 48.729722222)
http://www.wikidata.org/entity/Q184548,SK-NI,Point(18.086388888 48.306944444)
http://www.wikidata.org/entity/Q184599,IE-WX,Point(-6.666666666 52.5)
http://www.wikidata.org/entity/Q184760,IE-MN,Point(-7.04 54.244)
http://www.wikidata.org/entity/Q184981,BG-27,Point(27.0 43.25)
http://www.wikidata.org/entity/Q187821,HU-TB,Point(18.39485 47.58616)
http://www.wikidata.org/entity/Q188096,MY-07,Point(100.365 5.4025)
http://www.wikidata.org/entity/Q188503,RO-BR,Point(27.68 45.11)
http://www.wikidata.org/entity/Q188612,HU-PE,Point(19.333333333 47.416666666)
http://www.wikidata.org/entity/Q188796,RO-GL,Point(27.78 45.79)
http://www.wikidata.org/entity/Q188945,RO-OT,Point(24.3667 44.4333)
http://www.wikidata.org/entity/Q188953,MY-08,Point(101.0 4.75)
http://www.wikidata.org/entity/Q188959,RO-CV,Point(26.03 45.9)
http://www.wikidata.org/entity/Q189655,HU-JN,Point(20.5 47.25)
http://www.wikidata.org/entity/Q189769,HU-ST,Point(19.786666666 48.085277777)
http://www.wikidata.org/entity/Q189912,GB-ABD,Point(-2.123 57.151)
http://www.wikidata.org/entity/Q189942,IL-Z,Point(35.333333333 32.833333333)
http://www.wikidata.org/entity/Q189963,EE-44,Point(27.3 59.216666666)
http://www.wikidata.org/entity/Q189974,EE-49,Point(26.4 58.7)
http://www.wikidata.org/entity/Q190018,HU-KE,Point(18.333333333 47.583333333)
http://www.wikidata.org/entity/Q190406,RO-GJ,Point(23.3 45.04)
http://www.wikidata.org/entity/Q190550,CZ-80,Point(18.0 49.8)
http://www.wikidata.org/entity/Q190687,VE-D,Point(-67.6 10.25)
http://www.wikidata.org/entity/Q191164,VE-F,Point(-63.5 6.33333)
http://www.wikidata.org/entity/Q191164,VE-F,Point(-63.55 8.121944444)
http://www.wikidata.org/entity/Q191653,RO-TR,Point(25.356944444 43.656944444)
http://www.wikidata.org/entity/Q192362,EE-82,Point(26.166666666 57.866666666)
http://www.wikidata.org/entity/Q194098,MN-043,Point(92.75 47.0)
http://www.wikidata.org/entity/Q194182,AL-KA,Point(19.599444444 41.135)
http://www.wikidata.org/entity/Q196674,AO-ZAI,Point(14.233333333 -6.266666666)
http://www.wikidata.org/entity/Q200258,FI-LL,Point(26.0 67.0)
http://www.wikidata.org/entity/Q200938,PE-LOR,Point(-74.32 -4.0)
http://www.wikidata.org/entity/Q201147,AM-AV,Point(44.05 40.15)
http://www.wikidata.org/entity/Q202059,GB-LBH,Point(-0.116388888 51.460833333)
http://www.wikidata.org/entity/Q202071,VE-I,Point(-69.859741 11.172989)
http://www.wikidata.org/entity/Q202484,GR-J,Point(22.416666666 37.333333333)
http://www.wikidata.org/entity/Q202652,AL-PQ,Point(19.783333333 41.05)
http://www.wikidata.org/entity/Q205112,PE-AYA,Point(-74.224444444 -13.163055555)
http://www.wikidata.org/entity/Q206019,BF-ZIR,Point(-1.916666666 11.583333333)
http://www.wikidata.org/entity/Q206186,GR-71,Point(26.08333333 41.16666667)
http://www.wikidata.org/entity/Q206997,AL-PU,Point(19.983333333 42.066666666)
http://www.wikidata.org/entity/Q207002,AL-LB,Point(20.4 41.183333333)
http://www.wikidata.org/entity/Q207218,GB-EAL,Point(-0.308888888 51.513055555)
http://www.wikidata.org/entity/Q208186,PE-ICA,Point(-75.73 -14.07)
http://www.wikidata.org/entity/Q209706,CD-KC,Point(21.45 -5.9)
http://www.wikidata.org/entity/Q209706,CD-KC,Point(22.40666667 -5.89861111)
http://www.wikidata.org/entity/Q210866,IS-5,Point(-19.63944444 65.74611111)
http://www.wikidata.org/entity/Q211091,GB-RFW,Point(-4.389464 55.877277)
http://www.wikidata.org/entity/Q211314,GR-63,Point(21.41666667 40.75)
http://www.wikidata.org/entity/Q211732,GR-58,Point(21.66666667 40.33333333)
http://www.wikidata.org/entity/Q211732,GR-58,Point(21.783333333 40.3)
http://www.wikidata.org/entity/Q213189,IQ-AR,Point(44.033333333 36.183333333)
http://www.wikidata.org/entity/Q214064,SY-HL,Point(37.6 36.24)
http://www.wikidata.org/entity/Q214162,GB-HNS,Point(-0.365555555 51.473611111)
http://www.wikidata.org/entity/Q214221,AO-LNO,Point(19.6 -8.283333333)
http://www.wikidata.org/entity/Q214572,AO-HUI,Point(14.833333333 -14.25)
http://www.wikidata.org/entity/Q215030,GB-LEW,Point(-0.020277777 51.445277777)
http://www.wikidata.org/entity/Q215268,AO-CCU,Point(19.5 -16.083333333)
http://www.wikidata.org/entity/Q217840,GB-CMN,Point(-4.310555555 51.856111111)
http://www.wikidata.org/entity/Q219115,LT-48,Point(21.516666666 56.266666666)
http://www.wikidata.org/entity/Q220982,SH-TA,Point(-12.283333333 -37.116666666)
http://www.wikidata.org/entity/Q221212,YE-BA,Point(45.333333333 14.266666666)
http://www.wikidata.org/entity/Q221791,IS-3,Point(-21.916666666 64.533333333)
http://www.wikidata.org/entity/Q227163,SI-144,Point(15.385369444 46.375030555)
http://www.wikidata.org/entity/Q230932,AZ-MI,Point(47.048888888 40.77)
http://www.wikidata.org/entity/Q233233,DZ-17,Point(3.258333 34.675)
http://www.wikidata.org/entity/Q233588,TH-50,Point(98.970561111 18.837219444)
http://www.wikidata.org/entity/Q233640,DZ-20,Point(0.15 34.833333333)
http://www.wikidata.org/entity/Q235805,DZ-38,Point(1.816666666 35.6)
http://www.wikidata.org/entity/Q235814,DZ-42,Point(2.433333333 36.583333333)
http://www.wikidata.org/entity/Q236758,DZ-48,Point(0.55 35.733333333)
http://www.wikidata.org/entity/Q240540,TH-51,Point(99.006388888 18.579166666)
http://www.wikidata.org/entity/Q242977,TH-95,Point(101.281111111 6.54)
http://www.wikidata.org/entity/Q244521,PT-08,Point(-7.935 37.015)
http://www.wikidata.org/entity/Q249996,TW-KEE,Point(121.7419 25.12825)
http://www.wikidata.org/entity/Q258405,NI-GR,Point(-85.95 11.933333333)
http://www.wikidata.org/entity/Q261241,TH-39,Point(102.383333333 17.166666666)
http://www.wikidata.org/entity/Q263285,BN-TE,Point(115.166666666 4.583333333)
http://www.wikidata.org/entity/Q272885,CO-GUV,Point(-72.633333333 2.566666666)
http://www.wikidata.org/entity/Q273529,PT-05,Point(-7.492 39.824)
http://www.wikidata.org/entity/Q274126,CU-02,Point(-82.166666666 22.75)
http://www.wikidata.org/entity/Q15927,SI-131,Point(14.316666666 46.366666666)
http://www.wikidata.org/entity/Q16578,UY-FS,Point(-56.833333333 -33.6)
http://www.wikidata.org/entity/Q29172,BJ-ZO,Point(1.983333333 7.183333333)
http://www.wikidata.org/entity/Q30630,EG-BH,Point(30.43 30.61)
http://www.wikidata.org/entity/Q30971,FR-PF,Point(-149.566666666 -17.533333333)
http://www.wikidata.org/entity/Q31067,EG-IS,Point(32.283333333 30.6)
http://www.wikidata.org/entity/Q31070,EG-SUZ,Point(32.55 29.983333333)
http://www.wikidata.org/entity/Q31079,EG-PTS,Point(32.3 31.266666666)
http://www.wikidata.org/entity/Q32108,BJ-PL,Point(2.683333333 6.966666666)
http://www.wikidata.org/entity/Q32515,GB-RIC,Point(-0.324166666 51.447777777)
http://www.wikidata.org/entity/Q33271,VN-39,Point(107.181111 11.110278)
http://www.wikidata.org/entity/Q33351,VN-23,Point(105.75 18.33333)
http://www.wikidata.org/entity/Q33351,VN-23,Point(105.9 18.333333333)
http://www.wikidata.org/entity/Q34617,FR-PM,Point(-56.275 46.825)
http://www.wikidata.org/entity/Q35493,KZ-ALA,Point(76.9 43.25)
http://www.wikidata.org/entity/Q36074,AU-QLD,Point(143.0 -20.0)
http://www.wikidata.org/entity/Q36235,VN-66,Point(106.05 20.816666666)
http://www.wikidata.org/entity/Q36610,VN-68,Point(105.13333 21.33333)
http://www.wikidata.org/entity/Q36610,VN-68,Point(105.166666666 21.333333333)
http://www.wikidata.org/entity/Q36687,AU-VIC,Point(144.0 -37.0)
http://www.wikidata.org/entity/Q36693,VN-31,Point(109.0 14.166666666)
http://www.wikidata.org/entity/Q36865,VN-04,Point(106.083333333 22.75)
http://www.wikidata.org/entity/Q37662,AL-DR,Point(19.516666666 41.4)
http://www.wikidata.org/entity/Q38981,AT-8,Point(9.893888888 47.243611111)
http://www.wikidata.org/entity/Q39521,MT-51,Point(14.401666666 35.948333333)
http://www.wikidata.org/entity/Q39583,MT-04,Point(14.466666666 35.9)
http://www.wikidata.org/entity/Q40123,BR-CE,Point(-39.65 -5.08)
http://www.wikidata.org/entity/Q40395,BN-BE,Point(114.583333333 4.416666666)
http://www.wikidata.org/entity/Q41071,KR-42,Point(128.25 37.5)
http://www.wikidata.org/entity/Q43271,VE-E,Point(-70.2 8.633333333)
http://www.wikidata.org/entity/Q43433,IN-CH,Point(76.791111111 30.735277777)
http://www.wikidata.org/entity/Q43934,CN-LN,Point(123.425833333 41.803888888)
http://www.wikidata.org/entity/Q44758,AR-W,Point(-57.63 -28.66)
http://www.wikidata.org/entity/Q44796,AR-F,Point(-66.85 -29.433333333)
http://www.wikidata.org/entity/Q44802,AR-R,Point(-63.0 -40.8)
http://www.wikidata.org/entity/Q45208,CN-JL,Point(125.308333333 43.884166666)
http://www.wikidata.org/entity/Q45779,HU-PS,Point(18.233055555 46.070833333)
http://www.wikidata.org/entity/Q45868,RO-AB,Point(23.5333 46.1333)
http://www.wikidata.org/entity/Q46070,CZ-32,Point(13.2 49.7)
http://www.wikidata.org/entity/Q46107,IN-DN,Point(73.00811 20.20651)
http://www.wikidata.org/entity/Q46107,IN-DN,Point(73.02 20.27)
http://www.wikidata.org/entity/Q46910,MM-14,Point(93.5 22.0)
http://www.wikidata.org/entity/Q48200,LY-KF,Point(23.0 24.0)
http://www.wikidata.org/entity/Q48236,LY-GT,Point(11.0 25.333333333)
http://www.wikidata.org/entity/Q49663,LI-01,Point(9.5 47.066666666)
http://www.wikidata.org/entity/Q50616,NO-04,Point(11.666666666 60.833333333)
http://www.wikidata.org/entity/Q50618,NO-06,Point(9.5 60.5)
http://www.wikidata.org/entity/Q50627,NO-15,Point(7.166667 62.5)
http://www.wikidata.org/entity/Q50628,NO-16,Point(10.26 63.39)
http://www.wikidata.org/entity/Q54925,ES-GU,Point(-2.5 40.833333333)
http://www.wikidata.org/entity/Q55180,ES-Z,Point(-1.0 41.583333333)
http://www.wikidata.org/entity/Q55283,ES-SG,Point(-4.0 41.166666666)
http://www.wikidata.org/entity/Q57052,CN-JX,Point(116.0 27.3)
http://www.wikidata.org/entity/Q57617,BW-NW,Point(22.5 -20.0)
http://www.wikidata.org/entity/Q57617,BW-NW,Point(23.5 -19.5)
http://www.wikidata.org/entity/Q59153,CY-03,Point(33.63749355 34.91691661)
http://www.wikidata.org/entity/Q60037,HU-ZE,Point(16.851111111 46.839166666)
http://www.wikidata.org/entity/Q60130,MX-VER,Point(-96.383055555 19.434722222)
http://www.wikidata.org/entity/Q66710,IN-DD,Point(72.85 20.426944444)
http://www.wikidata.org/entity/Q68929,LT-53,Point(24.765 55.268055555)
http://www.wikidata.org/entity/Q80245,MX-ROO,Point(-87.916666666 19.6)
